fips,count,avgScore
19035,52,0.35
19037,49,0.3
19039,48,0.44
19041,60,0.35
19043,94,0.35
19045,237,0.29
19047,108,0.24
19049,562,0.32
19051,29,0.46
19053,102,0.33
19055,143,0.4
19057,181,0.36
19059,73,0.31
19061,1306,0.33
19063,32,0.25
19065,77,0.36
19067,98,0.4
19069,48,0.35
19071,44,0.38
19073,50,0.41
19075,92,0.38
19077,48,0.28
19079,75,0.39
19081,47,0.38
19083,89,0.26
19085,76,0.24
19087,133,0.29
19089,35,0.43
19091,63,0.28
19093,32,0.29
19095,123,0.4
19097,78,0.39
19099,222,0.34
19101,102,0.34
19103,6345,0.3
19105,94,0.36
19107,38,0.34
19109,53,0.45
19111,119,0.33
19113,2379,0.3
19115,33,0.51
19117,28,0.33
19119,34,0.31
19121,142,0.3
19123,104,0.32
19125,327,0.32
19127,248,0.25
19129,81,0.35
19131,39,0.4
19133,30,0.46
19135,25,0.34
19137,57,0.44
19139,262,0.3
19141,57,0.43
19143,21,0.52
19145,81,0.34
19147,40,0.26
19149,114,0.33
19151,17,0.26
19153,7416,0.27
19155,566,0.34
19157,285,0.22
19159,15,0.48
19161,37,0.3
19163,1424,0.31
19165,59,0.31
19167,185,0.33
19169,2300,0.3
19171,78,0.24
19173,27,0.27
19175,81,0.33
19177,28,0.31
19179,189,0.25
19181,669,0.3
19183,165,0.35
19185,17,0.39
19187,366,0.29
19189,67,0.26
19191,334,0.27
19193,678,0.28
19195,45,0.38
19197,56,0.3
20001,77,0.31
20003,29,0.22
20005,72,0.28
20007,14,0.26
20009,52,0.35
20011,34,0.35
20013,37,0.16
20015,273,0.3
20017,9,0.51
20019,11,0.28
20021,29,0.35
20023,5,0.05
20025,4,0.3
20027,27,0.24
20029,30,0.23
20031,19,0.59
20033,4,0.51
20035,83,0.26
20037,226,0.26
20039,2,0.75
20041,67,0.31
20043,16,0.33
20045,1719,0.25
20047,7,0.42
20049,2,0.34
20051,257,0.26
20053,31,0.32
20055,92,0.18
20057,65,0.28
20059,84,0.34
20061,347,0.21
20063,7,0.29
20065,9,0.38
20067,9,0.23
20069,17,0.19
20071,3,0.59
20073,7,0.44
20075,3,0.05
20077,11,0.39
20079,296,0.3
20081,6,0.36
20083,5,-0.27
20085,38,0.42
20087,67,0.38
20089,9,0.16
20091,7450,0.31
20093,14,0.16
20095,17,0.41
20097,13,0.24
20099,56,0.19
20101,5,0.01
20103,405,0.26
20105,4,0.5
20107,13,0.34
20109,5,0.04
20111,395,0.25
20113,120,0.34
20115,45,0.32
20117,38,0.3
20119,33,0.26
20121,125,0.35
20123,10,0.35
20125,78,0.26
20127,24,0.32
20129,6,0.64
20131,39,0.35
20133,44,0.26
20135,3,0.31
20137,11,0.23
20139,42,0.32
20141,8,0.5
20143,22,0.19
